Date,Time,PM2.5 (µg/m³),PM10 (µg/m³),SO2 (ppm),NO2 (ppm),O3 (ppm),CO (ppm),VOCs (ppm),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),pH,DO (mg/L),BOD (mg/L),COD (mg/L),Turbidity (NTU),Lead (µg/L),Mercury (µg/L),Arsenic (µg/L),Fecal Coliforms (MPN/100mL),Total Coliforms (MPN/100mL),Distance from Plant,Wind Direction (Plant),Elevation,Proximity to Water Bodies,Historical Pollution Levels,Historical Temperature,Historical Humidity,Historical Wind Speed,Regulatory Data,Industrial Activity,Demographic Data
9/20/2024,12:46 PM,72.27010087,32.56898919,0.043392079,0.028461189,0.05532722,0.17949222,0.03254815,22.16612177,58.33180561,3.948584909,80,8.42927224,8.80802342,6.551534773,4.632507794,5.693169551,0.653916894,1.071990907,0.919294224,58,198,5.518292996,233.987396,145.8531012,12.82020556,56.16456762,14.13546871,50.14157841,3.863695881,2.194683742,46.93979528,185.7032352
7/18/2024,2:16 PM,6.747983896,9.13517267,0.011194877,0.044591662,0.079685722,4.749704707,0.060120788,15.03498799,39.6367466,0.126325308,38,6.585534866,7.572706978,4.818138742,6.099327993,6.722633107,2.632995404,1.722305615,3.451680982,60,403,1.433101361,354.2462423,140.7542621,92.74677524,30.32963495,30.39835847,54.10851842,4.839530148,6.000219945,89.33258125,575.9238417
8/20/2024,8:23 AM,68.08613555,36.26648835,0.09962277,0.004047618,0.062644681,9.671082216,0.004625347,12.23580739,47.99440483,3.11643276,93,7.285724304,7.34994663,3.90936382,3.677488438,4.669419755,3.122818334,1.147637159,4.293247447,158,108,1.249121982,352.9706356,274.7772357,27.3325881,89.38549904,19.18820829,30.35251932,2.302978005,0.114646506,85.58803695,63.63699
4/28/2024,10:44 AM,70.10978772,4.536920118,0.029038151,0.052235439,0.057378927,4.952742933,0.059823209,11.76276727,44.67107134,0.879330331,204,6.890370243,7.68799402,1.472595089,6.784583325,6.790633351,2.937873214,0.079828176,3.084671886,148,244,6.129709981,181.294971,431.8878541,67.98737746,15.83018513,22.67774281,39.06870807,0.338012861,4.162035381,82.65398445,984.5060654
4/6/2024,3:43 AM,55.87237407,28.28017352,0.007790952,0.009316474,0.078406133,9.019365992,0.080178156,29.26349276,66.52849575,0.804028885,271,8.85773965,7.047836806,2.265176349,19.82775131,8.872286714,3.846320264,0.669262929,3.472480693,122,397,4.262855749,170.978667,490.8248722,66.32912403,4.596059222,32.17358307,65.80109666,1.771948869,3.594852111,20.47099988,732.1710326
12/19/2024,7:34 AM,93.82273977,40.72792497,0.091455949,0.005978559,0.001814455,3.692643823,0.070461372,20.24835647,64.18463351,3.170621226,326,7.251065556,7.583668223,0.403827013,11.1612434,8.377658225,3.743805706,0.839926679,3.617834683,101,427,3.030056511,43.01011096,239.3471596,88.80319282,50.43206866,25.18028846,55.0084345,3.950773012,0.282684831,42.40323904,697.1514269
8/24/2024,1:43 AM,99.97657248,58.409319,0.068415444,0.027834011,0.0982737,3.439074063,0.085635419,24.41560355,43.28002886,3.741747605,211,6.537262203,9.573318387,5.654732033,13.68185109,6.731178391,1.63705149,0.805568764,2.028063053,32,477,0.353125768,67.9440838,125.6415547,1.278305312,89.8961994,22.6788166,63.47056728,1.522359791,6.163421251,37.01070874,743.7183942
4/23/2024,8:24 PM,47.6581755,96.29054488,0.042634297,0.093338064,0.024203145,6.155339164,0.051825339,15.03214432,34.64301979,0.480525571,306,8.193720382,7.63866327,6.993830379,4.167529837,5.658939268,0.967383941,0.654592273,3.19763283,68,324,0.491866777,36.7543972,185.4634038,1.087225762,50.19711589,23.84141933,73.90814943,0.51836314,3.563629715,83.64408285,806.3314092
11/9/2024,7:47 AM,5.337999794,89.7775529,0.006555777,0.025286875,0.055206502,6.735768091,0.065359259,29.89949352,74.30962198,3.853622178,79,6.275479356,7.274944712,5.156719229,4.072111296,3.101241691,2.529149692,1.54393274,0.604791561,60,174,2.552649344,71.01100355,438.518425,3.684097607,84.40312384,16.88066331,40.31540535,3.747792778,2.198446539,46.17182596,224.8341995
2/23/2024,9:44 PM,5.969671019,99.80737951,0.009142238,0.072045614,0.030632347,0.882999726,0.054737988,29.61678426,62.17772643,2.213366979,357,8.732106752,6.005972832,8.750183467,14.44287826,3.832392075,2.3607667,1.795686937,2.141006541,135,86,0.339072893,198.4952781,75.48821417,55.82885104,83.21004194,28.71807355,78.67295845,4.821846248,5.455938271,78.92311459,589.3202548
